,book_authors,book_desc,book_rating,book_title,genres,MISC,LOC,ORG,PER
14885,Vernor Vinge,"The Peace War is quintessential hard-science adventure. The Peace Authority conquered the world with a weapon that never should have been a weapon--the ""bobble,"" a spherical force-field impenetrable by any force known to mankind. Encasing governmental installations and military bases in bobbles, the Authority becomes virtually omnipotent. But they've never caught Paul Hoehler, the maverick who invented the technology, and who has been working quietly for decades to develop a way to defeat the Authority. With the help of an underground network of determined, independent scientists and a teenager who may be the apprentice genius he's needed for so long, he will shake the world, in the fast-paced hard-science thriller that garnered Vinge the first of his four Hugo nominations for best novel.",3.96,The Peace War,Science Fiction,['Peace War'],[],"['Peace Authority', 'Authority', 'Authority']","['Paul Hoehler', 'Vinge', 'Hugo']"
14903,Carol de Chellis Hill,"Amanda is an astronaut who roller-skates through the halls of NASA, and a subparticle physicist who can enter the mind of Mary Shelley. With her magical cat, Schrondinger, she finds herself in confrontation with the ultimate seductress, the eleven million mile high dancer.",3.81,Amanda & The Eleven Million Mile High Dancer,Science Fiction,[],[],['NASA'],"['Amanda', 'Mary Shelley', 'Schrondinger']"
14948,Isaac Asimov,"The Rest of the Robots is the third timeless, amazing and amusing volume of Isaac Asimov's robot stories, offering golden insights into robot thought processes. Asimov's Three Laws of Robotics have since been programmed into real computers the Massachusetts Institute of Technology and used as the outline for a legal robotic charter in Korea. ROBOT TONY is the first robot designed to perform domestic duties by the US Robots and Mechanical Men Corporation. Is it Tony's fault that the lady of the house where he's field tested falls in love with him?ROBOT AL was intended for shipment to a mining outfit on the moon. Instead, he's loose in the mountains of Virginia...building from scraps of junk his very own, very dangerous disintegrator.ROBOT LENNY answers workaday questions in babytalk. So why is Dr Susan Calvin, the world's top robopsychologist, fascinated by this messed up specimen of an industrial robot?",4.08,The Rest of the Robots,Science Fiction,"['Rest of the Robots', 'Three Laws of Robotics']","['Korea', 'Virginia']","['Asimov', 'Massachusetts Institute of Technology', 'ROBOT TONY', 'US Robots and Mechanical Men Corporation', 'ROBOT AL']","['Isaac Asimov', 'Tony', 'LENNY', 'Susan Calvin']"
14956,Ian McDonald,"ISTANBUL: QUEEN OF CITIES. Here histories, empires, and continents meet and cross. It is the mid-twenty first century and Turkey is a proud and powerful member of a European Union that runs from the Atlantic to Mt. Ararat.In the sleepy Istanbul district of Eskiköy stands the former whirling dervish house of Adem Dede. Six characters' lives revolve around it.A retired economist from the Greek community is hired into a top-security think tank, but keeps a dark secret from another century.A nine-year-old boy, confined to a silent world by a heart condition where any sudden sound could kill him, becomes a reluctant detective.A rogues trader sets up the deal o the century smuggling contraband gas but discovers it's only the tip of an iceberg of corporate fraud.An art dealer takes an offer she can't refuse--a genuine legend of old Istanbul--and finds herself swept up in ancient intrigues and rivalries.A slacker finds his life forever changed after an act of urban terrorism gives him the ability to see djinn--and they're just the start.A young marketing graduate has five days to save a family nanotechnology start-up with a new product that may just change the world. Over the space of five days of an Istanbul heat wave, these lives weave a story of corporate wheeling and dealing, Islamic mysticism, political and economic intrigues, ancient Ottoman mysteries, a terrifying new terrorist threat, and a nanotechnology with the potential to transform every human on the planet.",3.85,The Dervish House,Science Fiction,"['Greek', 'Islamic', 'Ottoman']","['ISTANBUL', 'Turkey', 'Atlantic', 'Mt. Ararat.In', 'Istanbul', 'Eskiköy', 'Istanbul', 'Istanbul']",['European Union'],['Adem Dede']
14975,Jeff W. Horton,"How can four stranded children survive and get back home after finding themselves transported to an alien planet in a distant part of the galaxy? Following a family tragedy, the Seekers children find themselves transported to a strange, alien world named Zantura, where a powerful, evil being named Sarin has either murdered or enslaved nearly everyone. The siblings must face and survive a series of seven deadly trials on the journey to find a long-lost ancient relic, which has the power to save Zantura from Sarin, and to send the children home.",4.72,The Way of Nacor,Science Fiction,['Seekers'],"['Zantura', 'Sarin']",[],"['Sarin', 'Zantura']"
14986,C.J. Cherryh,"After a hundred pioneer years, the colony on Hestia seemed to be nearing its end. Its holdings on that green and fertile planet were still limited to a single river in one valley. Everywhere else hostile fauna hedged them in. A dam could break the deadlock, and they needed an engineer to build it for them. Sam Merrit was the man who came in answer to their S.O.S. -- and he wanted out as soon as he landed. But once down on Hestia, it was live or die within the colony. So Sam stayed -- to discover certain anomalies that the hardscrabble colonists had thrust from their minds.",3.49,Hestia,Science Fiction,['S.O.S'],['Hestia'],[],"['Sam Merrit', 'Hestia', 'Sam']"
15002,Larry Niven,"Bartender Rick Shumann at his Siberian tavern catering to aliens, narrates 26 tales include:""The Subject Is Closed"" - Could AI stop working on life after death because subject solved? ""Table Manners"" - Is Rick hunter or hunted by five Folk aliens? ""Losing Mars"" - Unpublished. Aliens on Mars angry humans forget their planet.",3.88,The Draco Tavern,Science Fiction,"['Siberian', 'The Subject Is Closed', 'Could AI', 'Table Manners', 'Losing Mars', 'Aliens on Mars']",[],[],"['Rick Shumann', 'Rick']"
15014,Venessa Kimball,No longer in distribution,4.61,Surfacing the Rim,Science Fiction,[],[],[],[]
15032,Larry Niven|Jerry Pournelle,"They first appear as a series of dots on astronomical plates, heading from Saturn directly toward Earth. Since the ringed planet carries no life, scientists deduce the mysterious ship to be a visitor from another star.The world's frantic efforts to signal the aliens go unanswered. The first contact is hostile: the invaders blast a Soviet space station, seize the survivors, and then destroy every dam and installation on Earth with a hail of asteriods. Now the conquerors are descending on the American heartland, demanding servile surrender--or death for all humans.",3.9,Footfall,Science Fiction,"['Soviet', 'American']","['Saturn', 'Earth', 'Earth']",[],[]
15043,Raymond Vogel,"The science fiction imagining of a former rocket scientist, ""Matter of Resistance"" pushes technology and human nature to the limits as it chronicles our Mars settlement's struggle for independence from Earth. Though it was written for young adults, it's received high praise and recommendations from top minds in science, aerospace, and defense.",4.1,Matter of Resistance,Science Fiction,['Matter of Resistance'],['Earth'],['Mars'],[]
15072,George R.R. Martin,"Two telepaths investigate the newly discovered world of Shkea, where every native inhabitant, and an increasing number of human colonists, worships a mysterious and deadly parasite. Winner of the 1975 Hugo Award for Best Novella.Other short stories in this collection:With morning comes mistfallThe second kind of lonelinessOverrideDark, dark were the tunnelsThe heroFtaRun to starlightThe exit to San BretaSlide show",3.96,A Song for Lya: And Other Stories,Science Fiction,"['Hugo Award', 'lonelinessOverrideDark']","['Shkea', 'San BretaSlide']",[],[]
15090,Alan Dean Foster,"Based on the screenplay by Dan O'Bannon. The crew of the spaceship Nostromo wake from cryogenic sleep to distress signals from an unknown planet. One is attacked when they investigate a derelict alien craft. Safely on their way back to Sol, none foresee the real horror about to begin.",4.09,Alien,Science Fiction,['Nostromo'],['Sol'],[],"[""Dan O'Bannon""]"
15118,Ashlyn Forge,"Liam Baldwin has a problem—he has several, really. Gambling is only one of his vices; his obsession, Riley, is another. He'd never allowed the two to mix, and he'd never allowed either to interfere with the other, until now.In the last five years that Riley's been asleep, Liam has had to make sacrifices and 'adjustments' to ensure their survival. Now with Riley fully awake and inflicted with a condition of which there is no cure, Liam is once again faced with having to sacrifice all that he's striven for in hopes their relationship might have a chance. Riley, himself, has a tough decision to make also. He longs for peace and normalcy but those aren't two things Liam's known for.Is it ever acceptable to abandon the one you love in their time of need? Or should you always hang on till the bitter end?",4.06,In Riley's Slumber,Science Fiction,[],[],[],"['Liam Baldwin', 'Riley', 'Riley', 'Liam', 'Riley', 'Liam', 'Riley', 'Liam']"
15129,Elizabeth Wixley|E.M.G. Wixley,"An alien war has engulfed Earth. On the day, Isaac receives his call-up papers a beautiful girl walks into his electrical repair shop. Tragically, the couple is caught up in a bombing raid. A mysterious child healer release's Isaac from his underground tomb, but Chloe is less fortunate. Twenty first century reality is profoundly altered, and after the demon army led by the traitor Oswald collides with the resistance, the survivors are forced into hiding. Isaac and Chloe discover the origins of evil and a solution that could release them from the enemies' toxic grip. Armed with powerful secrets, which are desired by many, the couple begin to fight back. Trusting nobody, Isaac and Chloe, realise that they alone need to negotiate the traps and dangers, and decide in which time, and space that their secrets belong.",4.64,"Blood Borne (Cathedral Chronicles, #1)",Science Fiction,[],['Earth'],[],"['Isaac', 'Isaac', 'Chloe', 'Oswald', 'Isaac', 'Chloe', 'Isaac', 'Chloe']"
15136,J.M. Northup,"Rudely awakened by a deadly home invasion, Dakota is thrust into a country at war.With her home in danger, she begins a journey from Minneapolis to the Wasatch-Uinta Mountains to survive. While Dakota tries to figure out what is happening in America, she must adapt to a world void of the society and technology that has been the foundation of her life.Fighting against the darkness threatening to consume her and facing decisions she never expected to, Dakota struggles to find peace. In the middle of danger, Dakota learns to find love in the darkness around her. But can she survive in a country torn apart by civil war?",4.33,Fears of Darkness,Science Fiction,[],"['Dakota', 'Minneapolis', 'Wasatch-Uinta Mountains', 'America']",[],"['Dakota', 'Dakota', 'Dakota']"
15138,Gardner Dozois|John Varley|Robert Reed|George Turner|Stephen Baxter|R. Garcia y Robertson|Tony Daniel|Paul McAuley|Peter F. Hamilton|Mary Rosenblum|George R.R. Martin|Bruce Sterling|Michael Swanwick|Vernor Vinge|Janet Kagan|Walter Jon Williams|Maureen F. McHugh|G. David Nordley,"This is the second of two companion anthologies that chronicle the history of the SF adventure story. With this book, editor Gardner Dozois is attempting to disprove the old adage that ""they don't write 'em like that anymore."" Which, of course, they do, as writers like Peter F. Hamilton, Michael Swanwick, George Turner, and John Varley amply demonstrate in these pages. The selections here date from 1977 to 1998, although Dozois has limited himself by omitting subgenres such as cyberpunk, military SF, and even hard SF. While this makes the The Good New Stuff somewhat dubious as a historical overview of the adventure SF field, it allows Dozois to uncover some real gems that might otherwise have gone overlooked, including a couple of stories first published in the Brit-lit SF magazine Interzone. It's safe to say that in the hands of authors like Robert Reed, Walter Jon Williams, and Stephen Baxter, the grand tradition of SF is alive and well. --Craig E. EnglerContents Preface (The Good New Stuff) • (1999) • essay by Gardner DozoisGood-Bye, Robinson Crusoe • [Eight Worlds] • (1977) • novelette by John VarleyThe Way of Cross and Dragon • (1979) • novelette by George R. R. MartinSwarm • [Shaper/Mechanist] • (1982) • novelette by Bruce SterlingThe Blind Minotaur • (1985) • shortstory by Michael SwanwickThe Blabber • [Zones of Thought] • (1988) • novella by Vernor VingeThe Return of the Kangaroo Rex • [Mirabile] • (1989) • novelette by Janet KaganPrayers on the Wind • (1991) • novella by Walter Jon WilliamsThe Missionary's Child • (1992) • novelette by Maureen F. McHughPoles Apart • [Trimus] • (1992) • novella by G. David NordleyGuest of Honor • (1993) • novelette by Robert ReedFlowering Mandrake • (1994) • novelette by George TurnerCilia-of-Gold • (1994) • novelette by Stephen BaxterGone to Glory • (1995) • novelette by R. Garcia y RobertsonA Dry, Quiet War • (1996) • novelette by Tony DanielAll Tomorrow's Parties • (1997) • shortstory by Paul J. McAuleyEscape Route • [Confederation Universe Stories] • (1997) • novella by Peter F. HamiltonThe Eye of God • (1998) • novelette by Mary Rosenblum",3.84,The Good New Stuff: Adventure SF in the Grand Tradition,Science Fiction,"['SF', 'The Good New Stuff', 'SF', 'The Good New Stuff', 'John VarleyThe Way of Cross and Dragon', 'Bruce SterlingThe Blind Minotaur', 'Zones of Thought', 'Vernor VingeThe Return of the Kangaroo Rex • [ Mirabile', 'Janet KaganPrayers on the Wind', 'of Honor', 'to Glory', 'Quiet War', ""Tomorrow 's Parties"", 'Confederation Universe Stories']",[],"['Brit-lit SF', 'Interzone']","['Gardner Dozois', 'Peter F. Hamilton', 'Michael Swanwick', 'George Turner', 'John Varley', 'Dozois', 'Dozois', 'Robert Reed', 'Walter Jon Williams', 'Stephen Baxter', 'Craig E . EnglerContents Preface', 'Gardner DozoisGood-Bye', 'Robinson Crusoe', 'George R . R. MartinSwarm', 'Michael SwanwickThe Blabber', 'Walter Jon WilliamsThe Missionary', 'Maureen F . McHughPoles Apart', 'Trimus', 'G. David NordleyGuest', 'Robert ReedFlowering Mandrake', 'George TurnerCilia-of-Gold', 'Stephen BaxterGone', 'R. Garcia y RobertsonA Dry', 'Tony DanielAll', 'Paul J . McAuleyEscape Route', 'Peter F . HamiltonThe Eye of God', 'Mary Rosenblum']"
15144,Clifford D. Simak|David W. Wixon|Jonathan Frakes|Richard S. Simak,"Collected tales of wonder, danger, and the future, including the Hugo and Nebula Award–winning title story This volume contains ten stellar short stories by science fiction Grand Master Clifford D. Simak. In “Grotto of the Dancing Deer,” a man carrying an ancient secret finally speaks up, unable to bear any longer the loneliness he has experienced for millennia. In “Over the River,” which Simak wrote in memory of his beloved grandmother Ellen, children from an embattled future are sent back for safekeeping to their ancestors in the peaceful past. And in “Day of Truce,” the inhabitants of a suburban subdivision must barricade themselves against bands of roving attackers. On only one day each year do the gates open wide. . . .Each story includes an introduction by David W. Wixon, literary executor of the Clifford D. Simak estate and editor of this ebook.Contents:The Language of Clifford D. Simak • essay by David W. WixonOver the River and Through the Woods • (1965) • short story by Clifford D. SimakThe Grotto of the Dancing Deer • (1980) • short story by Clifford D. Simak (variant of Grotto of the Dancing Deer)The Reformation of Hangman's Gulch • non-genre • (1944) • novelette by Clifford D. SimakThe Civilization Game • (1958) • novelette by Clifford D. SimakCrying Jag • (1960) • novelette by Clifford D. SimakHunger Death • (1938) • novelette by Clifford D. SimakMutiny on Mercury • (1932) • novelette by Clifford D. SimakJackpot • (1956) • novelette by Clifford D. SimakDay of Truce • (1963) • novelette by Clifford D. SimakUnsilent Spring • (1976) • novelette by Clifford D. Simak and Richard S. Simak",3.99,Grotto of the Dancing Deer: And Other Stories,Science Fiction,"['Hugo and Nebula Award', 'Grotto of the Dancing Deer', 'In “ Over the River', 'Day of Truce', 'the River and Through the Woods', 'SimakThe Grotto of the Dancing Deer', ""Grotto of the Dancing Deer ) The Reformation of Hangman 's Gulch"", 'SimakThe Civilization Game', 'on Mercury']",[],[],"['Clifford D. Simak', 'Simak', 'Ellen', 'David W. Wixon', 'Clifford D. Simak', 'Clifford D. Simak', 'David W . WixonOver', 'Clifford D', 'Clifford D. Simak', 'Clifford D', 'Clifford D . SimakCrying Jag', 'Clifford D . SimakHunger Death', 'Clifford D . SimakMutiny', 'Clifford D . SimakJackpot', 'Clifford D . SimakDay of Truce', 'Clifford D . SimakUnsilent Spring', 'Clifford D. Simak', 'Richard S. Simak']"
15145,Suzanne Lazear,"Noli and her true love V fear the worst if the Staff of Eris—a potent Otherworld relic—falls into the wrong hands. Broken into pieces and hidden in the mortal realm long ago, the staff bestows vast powers on whoever possesses it. Ciarán, the dark king, is trying to rebuild the staff, intending to use it to install a new queen.In a desperate effort to keep the Otherworld from falling into darkness, Noli and V plot the daring theft of a jewel Ciarán needs to complete the staff. But Ciarán is not so easily defeated. Through his devious machinations, he has set a plan in motion for a final showdown that will decide who rules the Otherworld once and for all.",3.78,Fragile Destiny,Science Fiction,"['Staff of Eris', 'Otherworld']",['Otherworld'],[],"['Noli', 'Ciarán', 'Noli', 'Ciarán', 'Ciarán']"
15168,Alex Adams,"When I wake the world is gone. Only fragments remain. And then I remember ...Before: Her life may have taken a couple of wrong turns but Zoe is trying to make the best of what she has. A part-time cleaning job to pay for college, a weekly appointment with her therapist to straighten out the problems in her life. The same problems that any thirty-year-old would have. Nothing major. Nothing life-threatening. A few bad dream, that's all. After: The only thought that remains is survival. Survival in a desolate, post-apocalyptic world. For herself. For her unborn baby. But help is scarce in a world where untold horrors exist around every corner, where food and water are in desperately short supply, and the only chance of happiness is half a world away.",3.48,White Horse,Science Fiction,[],[],[],['Zoe']
15208,P.C. Jersild|Rika Lesser,"The protagonist of this mild satire - is a human brain floating in an aquarium - The bodiless Ypsilon, expected to be an unemotional intellect, feels lonely. Beause he is lovesick over a pretty lab assistant, Ypsilon chooses not to respond to elaborate educational regiments - With the aid of a chimpanzee and a detached human hand, he makes detailed plans for an impractical escape - Amusing and phantasmagoric."""" - Publishers Weekly. """"Thanks to [Lesser], Ypsilon has become as convincing and many-facetted to the English-speaking audience as he is to his Swedish readers, and the ethical and wider human problems posed by his situation have become just as urgent."""" - Swedish Book Review.",3.85,A Living Soul,Science Fiction,"['Ypsilon', 'Lesser', 'Ypsilon', 'English-speaking', 'Swedish', 'Swedish Book Review']",[],['Publishers Weekly'],['Ypsilon']
15220,George R.R. Martin|Melinda M. Snodgrass,"Decades after an alien virus changed the course of history, the surviving population of Manhattan still struggles to understand the new world left in its wake. Natural humans share the rough city with those given extraordinary—and sometimes terrifying—traits. While most manage to coexist in an uneasy peace, not everyone is willing to adapt. Down in the seedy underbelly of Jokertown, residents are going missing. The authorities are unwilling to investigate, except for a fresh lieutenant looking to prove himself and a collection of unlikely jokers forced to take matters into their own hands—or tentacles. The deeper into the kidnapping case these misfits and miscreants get, the higher the stakes are raised.Edited by #1 New York Times bestselling author George R. R. Martin and acclaimed author Melinda M. Snodgrass, Lowball is the latest mosaic novel in the acclaimed Wild Cards universe, featuring original fiction by Carrie Vaughn, Ian Tregillis, David Anthony Durham, Melinda M. Snodgrass, Mary Anne Mohanraj, David D. Levine, Michael Cassutt, and Walter John Williams.Perfect for old fans and new readers alike, Lowball delves deeper into the world of aces, jokers, and the hard-boiled men and women of the Fort Freak police precinct in a pulpy, page-turning novel of superheroics and mystery.Decades after an alien virus changed the course of history, the surviving population of Manhattan still struggles to understand the new world left in its wake. Natural humans share the rough city with those given extraordinary—and sometimes terrifying—traits. While most manage to coexist in an uneasy peace, not everyone is willing to adapt. Down in the seedy underbelly of Jokertown, residents are going missing. The authorities are unwilling to investigate, except for a fresh lieutenant looking to prove himself and a collection of unlikely jokers forced to take matters into their own hands—or tentacles. The deeper into the kidnapping case these misfits and miscreants get, the higher the stakes are raised.Edited by #1 New York Times bestselling author George R. R. Martin and acclaimed author Melinda M. Snodgrass, Lowball is the latest mosaic novel in the acclaimed Wild Cards universe, featuring original fiction by Carrie Vaughn, Ian Tregillis, David Anthony Durham, Melinda M. Snodgrass, Mary Anne Mohanraj, David D. Levine, Michael Cassutt, and Walter John Williams.Perfect for old fans and new readers alike, Lowball delves deeper into the world of aces, jokers, and the hard-boiled men and women of the Fort Freak police precinct in a pulpy, page-turning novel of superheroics and mystery.",3.82,Lowball,Science Fiction,"['Lowball', 'Wild Cards', 'Lowball', 'Wild Cards']","['Manhattan', 'Jokertown', 'Fort Freak', 'Manhattan', 'Jokertown', 'Fort Freak']","['New York Times', 'New York Times']","['George R . R. Martin', 'Melinda M. Snodgrass', 'Carrie Vaughn', 'Ian Tregillis', 'David Anthony Durham', 'Melinda M. Snodgrass', 'Mary Anne Mohanraj', 'David D. Levine', 'Michael Cassutt', 'Walter John Williams.Perfect', 'Lowball', 'George R . R. Martin', 'Melinda M. Snodgrass', 'Carrie Vaughn', 'Ian Tregillis', 'David Anthony Durham', 'Melinda M. Snodgrass', 'Mary Anne Mohanraj', 'David D. Levine', 'Michael Cassutt', 'Walter John Williams.Perfect', 'Lowball']"
15226,James S.A. Corey,"The fifth novel in Corey's New York Times bestselling Expanse series--now being produced for television by the SyFy Channel!A thousand worlds have opened, and the greatest land rush in human history has begun. As wave after wave of colonists leave, the power structures of the old solar system begin to buckle.Ships are disappearing without a trace. Private armies are being secretly formed. The sole remaining protomolecule sample is stolen. Terrorist attacks previously considered impossible bring the inner planets to their knees. The sins of the past are returning to exact a terrible price.And as a new human order is struggling to be born in blood and fire, James Holden and the crew of the Rocinante must struggle to survive and get back to the only home they have left.",4.38,Nemesis Games,Science Fiction,"['New York Times bestselling Expanse', 'Rocinante']",[],['SyFy Channel'],"['Corey', 'James Holden']"
15245,Peggy L. Henderson,"Nurse and avid backpacker Aimee Donovan is offered the opportunity of a lifetime. She encounters a patient who tells her he can send her two hundred years into the past to spend three months in the rugged Yellowstone wilderness at the dawn of the mountain man era. The only requirement: she cannot tell anyone that she’s from the future.How did a white woman suddenly appear in the remote Rocky Mountain wilderness? Trapper Daniel Osborne’s first instinct is to protect this mysterious and unconventional woman from the harsh realities of his mountains. While he fights his growing attraction to her, he is left frustrated by her lies and secrecy.Daniel shows Aimee a side of Yellowstone she’s never experienced. She is torn between her feelings for him, and exposing a secret that will destroy everything he holds as truth. As her three months come to an end, she is faced with a dilemma: return to her own time, or stay with the man who opened her eyes to a whole new world. When the decision is made for her, both their lives will be changed forever.",4.07,Yellowstone Heart Song,Science Fiction,[],"['Yellowstone', 'Rocky Mountain']",[],"['Aimee Donovan', 'Daniel Osborne', 'Aimee', 'Yellowstone']"
15249,Alexander Belyaev|Antonina W. Bouis|Theodore Sturgeon,"The entire scientific world mourned the loss of Professor Dowell. It was said that just before his death he was on the verge of a breakthrough in the transplantation of human organs.Marie Laurent felt privileged to work for the professor’s brilliant associate, Professor Kern. But her feelings turned to shock and revulsion when she entered Kern’s laboratory and discovered—sitting on a table, surrounded by tubes and tanks, its eyes blinking and lips moving—Professor Dowell’s head!Thus begins a classic tale of horror and suspense by Alexander Beliaev, the bestselling Soviet science fiction author of all time, whose work is considered by many readers the equal of Wells’ and Verne’s.Written half a century ago, this prophetic novel foresees not only organ transplants but other disturbing phenomena of our time, such as the use of mental hospitals as prisons and the manipulation of the news media. In the heads that Kern “rescues” from death, we see a poignant parable of mankind’s disembodied life in a high-technology age.The escape of one of the heads—after its transplantation to the body of an opera star—is the catalyst for the story’s hair-raising climax, as Marie Laurent and Professor Dowell’s son race against time to bring Kern to justice. Kern is a cunning adversary, armed with formidable weapons, both real and psychological. Pursuing him means hairbreadth escapes and sudden reversals—with the outcome uncertain right up to the last page.",4.08,Professor Dowell's Head,Science Fiction,"['Soviet', 'Wells’', 'Verne’s.Written']",['Kern'],[],"['Dowell', 'organs.Marie Laurent', 'Kern', 'Dowell', 'Alexander Beliaev', 'Kern', 'Marie Laurent', 'Dowell', 'Kern', 'Kern']"
15257,David Estes,"In a desperate attempt to escape destruction decades earlier, humankind was forced underground, into the depths of the earth, creating a new society called the Tri-Realms. After her parents and sister are abducted by the Enforcers, seventeen-year-old Adele, a member of the middle-class moon dwellers, is unjustly sentenced to life in prison for her parents' crimes of treason.Against all odds, Adele must escape from the Pen and find her family, while being hunted by a deranged, killing machine named Rivet, who works for the President. She is helped by two other inmates, Tawni and Cole, each of whom have dark secrets that are better left undiscovered. Other than her friends, the only thing she has going for her is a wicked roundhouse kick and two fists that have been well-trained for combat by her father.At the other end of the social spectrum is Tristan, the son of the President and a sun dweller. His mother is gone. He hates his father. Backed by only his servant and best friend, Roc, he leaves his lavish lifestyle in the Sun Realm, seeking to make something good out of his troubled life.When a war breaks out within the Tri-Realms, Tristan is thrust into the middle of a conflict that seems to mysteriously follow Adele as she seeks to find her family and uncover her parents true past.In their world, someone must die.",3.82,The Moon Dwellers,Science Fiction,"['Tri-Realms', 'Pen', 'Tri-Realms']",['Sun Realm'],['Enforcers'],"['Adele', 'Adele', 'Rivet', 'Tawni', 'Cole', 'Tristan', 'Roc', 'Tristan', 'Adele']"
15293,Octavia E. Butler,"The combined mind--force of a telepathic race, patternist thoughts can destroy, heal, rule. For the strongest mind commands the entire pattern and all within. Now the son of the Patternmaster craves this ultimate power, He has murdered or enslaved every threat to his ambition----except one. In the wild, mutant--infested hills, a young apprentice must be hunted down and destroyed because he is the tyrant's equal....and the Pattermaster's other son.",4.01,Patternmaster,Science Fiction,['Patternmaster'],[],[],['Pattermaster']
15322,Ursula K. Le Guin,"This is the 9th Avon printing.Ursula K. Le Guin is one of science fiction's greatest writers. She is also an acclaimed author of powerful and perceptive nonfiction, fantasy, and literary fiction. She has received many honors, including six Nebula and five Hugo Awards, the National Book Award, the Pushcart Prize, the Newbery, the Pilgrim, the Tiptree, and citations by the American Library Association. She has written over a dozen highly regarded novels and story collections. Her SF masterworks are The Left Hand of Darkness (1969), The Dispossessed (1974), and The Lathe of Heaven (1971). George Orr has dreams that come true--dreams that change reality. He dreams that the aunt who is sexually harassing him is killed in a car crash, and wakes to find that she died in a wreck six weeks ago, in another part of the country. But a far darker dream drives George into the care of a psychotherapist--a dream researcher who doesn't share George's ambivalence about altering reality. The Lathe of Heaven is set in the sort of worlds that one would associate with Philip K. Dick, but Ms. Le Guin's treatment of the material, her plot and characterization and concerns, are more akin to the humanistic, ethically engaged, psychologically nuanced fiction of Theodore Sturgeon. The Lathe of Heaven is an insightful and chilling examination of total power, of war and injustice and other age-old problems, of changing the world, of playing God. --Cynthia Ward",4.1,The Lathe Of Heaven,Science Fiction,"['9th Avon', 'Nebula', 'Hugo Awards', 'National Book Award', 'Pushcart Prize', 'Newbery', 'Pilgrim', 'Tiptree', 'The Left Hand of Darkness', 'The Dispossessed', 'The Lathe of Heaven', 'Lathe of Heaven', 'Lathe of Heaven']",[],['American Library Association'],"['K. Le Guin', 'George Orr', 'George', 'George', 'Philip K. Dick', 'Le Guin', 'Theodore Sturgeon', 'God', 'Cynthia Ward']"
15326,David Zindell,"The universe of Neverness is and filled with extraordinary beings, such as the neanderthal-like Alaloi and the Order of Pilots. Against this backdrop stands Mallory Ringer, who penetrates the Solid State Entity. There he makes a discovery. One that could unlock the secret of immortality.",4.13,Neverness,Science Fiction,"['Neverness', 'Alaloi']",[],['Order of Pilots'],['Mallory Ringer']
15333,Greg Egan,"In the not-too-distant future, technology has given birth to immortality. The human mind can be scanned and downloaded into a virtual reality program to become a perfect electronic ""Copy"", aware of itself. The bad news is, someone has blocked the bail-out option that allows a Copy, by law, to return to flash-and-blood life. From the author of Quarantine.",4.07,Permutation City,Science Fiction,"['Copy', 'Quarantine']",[],[],[]
15361,Neal Stephenson,"Decades into our future, a stone's throw from the ancient city of Shanghai, a brilliant nanotechnologist named John Percival Hackworth has just broken therigorous moral code of his tribe, the powerful neoVictorians. He's made an illicit copy of a state-of-the-art interactive device called A Young Ladys Illustrated Primer. Commissioned by an eccentric duke for his grandchild, stolen for Hackworth's own daughter, the Primer's purpose is to educate and raise a girl capable of thinking for herself. It performs its function superbly. Unfortunately for Hackworth, his smuggled copy has fallen into the wrong hands.Young Nell and her brother Harv are thetes -- members of the poor, tribeless class. Neglected by their mother, Harv looks after Nell. When he and his gang waylay a certain neo-Victorian -- John Percival Hackworth -- in the seamy streets of their neighborhood, Harv brings Nell something special: the Primer.Following the discovery of his crime, Hackworth begins an odyssey of his own. Expelled from the neo-Victorian paradise, squeezed by agents of ProtocolEnforcement on one side and a Mandarin underworld crime lord on the other, he searches for an elusive figure known as the Alchemist. His quest and Nell'swill ultimately lead them to another seeker whose fate is bound up with the Primer -- a woman who holds the key to a vast, subversive informationnetwork that is destined to decode and reprogram the future of humanity.Vividly imagined, stunningly prophetic, and epic in scope, The Diamond Age is a major novel from one of the most visionary writers of our time.",4.19,The Diamond Age,Science Fiction,"['A Young Ladys Illustrated Primer', 'Primer.Following', 'neo-Victorian', 'Mandarin', 'Alchemist', ""Nell'swill"", 'Primer', 'The Diamond Age']",['Shanghai'],['ProtocolEnforcement'],"['John Percival Hackworth', 'Hackworth', 'Hackworth', 'Nell', 'Harv', 'Harv', 'Nell', 'John Percival Hackworth', 'Harv', 'Nell', 'Hackworth']"
15366,Hugh Howey,"This Omnibus Edition collects the five Wool books into a single volume. It is for those who arrived late to the party and who wish to save a dollar or two while picking up the same stories in a single package.The first Wool story was released as a standalone short in July of 2011. Due to reviewer demand, the rest of the story was released over the next six months. My thanks go out to those reviewers who clamored for more. Without you, none of this would exist. Your demand created this as much as I did.This is the story of mankind clawing for survival, of mankind on the edge. The world outside has grown unkind, the view of it limited, talk of it forbidden. But there are always those who hope, who dream. These are the dangerous people, the residents who infect others with their optimism. Their punishment is simple. They are given the very thing they profess to want: They are allowed outside.",4.23,Wool Omnibus Edition,Science Fiction,['Omnibus Edition'],[],[],[]
